time,user_name,user_color,message
523,hemis85,#FF69B4,"Jeees! Lets kou"
527,hissi_timo,,"päivää kaikki :)"
527,ollinhauis,,"Moro Samppa! Hyzer vai anhyzer?"
535,riqumato,#FF0000,"@ollinhauis annukas"
536,morko_pubg,,"Olvari ne pallit kattoon"
561,vi1q_thugger,#FF69B4,"!peku"
561,nightbot,#7C7CE1,"oli aika jurris hallil (ja festareilla) + mökillä"
564,jaqeee,#FF0000,"Tunnettu hypemies zonic, tunnettu myös Falconsin valmentajana"
573,icefreeze1155,,"kyxsani toppina"
579,captbablobronzebeard,#FF69B4,"kyxsan ainoo plussalla"
612,flybymoon,#FF0000,"Paitsi että Jimi sai ykkösen kalloon tehdessään samaa"
615,jaageri_,#FF0000,"!map"
641,draxteri,#FF7F50,"ottaakoha kyosuke tähä halffii yhtää"
665,hazeh__,,"Teses kantaa"
672,wewrsson,#00FF7F,"dodii taas toimii, kaatoko olvari juomat koneen päälle?"
675,routawaara,#DAA520,"Saako jostain näkyviin päivän pelit, mitä peliä ootetaan eniten."
677,roposedo,,"ihsm kuha falcons hävii."
695,oonraimo,#00FF7F,"joo"
696,zzzjeeeee,#008000,"!pallit"
696,nightbot,#7C7CE1,"https://www.twitch.tv/pelaajatcom/clip/ReliableObliqueHippoSaltBae-Kq-14_hhfNntxa1h"
697,temppu_og,,"Teses on kyl CS:n Antti Miettinen"
698,eetusqt,#AFFF25,"anzyher ana"
699,sami_zampp90,#FF69B4,"LUL"
700,vehola,#FF0000,"Mökki?"
708,eetusqt,#AFFF25,"based take sampalta"
709,skuttsi,,"pikkuantsa hyvä"
710,wooziehh,,"@vehola möksä"
710,k1rre1,,"Täällähän toimii live"
726,eberx_,#0000FF,"11.30 oli ootte vaan burgereita"
731,oonraimo,#00FF7F,"MEIKÄN MIELENTILA SAMA KU LEMPIKIEKKO = ALIVAKAA @samppacs2"
733,j44so,,"Onko rolling schedule"
734,kimblez666,#FF0000,"eli ois alkanu klo 9 ruotsin aikaa"
